codigo_postal,nombre_entidad_singular,municipio_id,nombre
42218,BANIEL,42204,Viana de Duero
42220,VALTUEÑA,42119,Monteagudo de las Vicarías
42221,POZUEL DE ARIZA,50215,Pozuel de Ariza
42222,PUEBLA DE ECA,42018,Almaluez
42223,SOLIEDRA,42172,Soliedra
42224,SOLIEDRA,42172,Soliedra
42225,VELILLA DE LOS AJOS,42202,Velilla de los Ajos
42230,YELO,42219,Yelo
42240,MEDINACELI,42113,Medinaceli
42248,LODARES,42113,Medinaceli
42249,SALINAS DE MEDINACELI,42113,Medinaceli
42250,JUBERA,42025,Arcos de Jalón
42257,VELILLA DE MEDINACELI,42025,Arcos de Jalón
42258,UTRILLA,42025,Arcos de Jalón
42259,MONTUENGA DE SORIA,42025,Arcos de Jalón
42260,SANTA MARIA DE HUERTA,42167,Santa María de Huerta
42269,TORREHERMOSA,50259,Torrehermosa
42290,NAVALCABALLO,42149,"Rábanos, Los"
42291,VENTOSA DE FUENTEPINILLA,42144,Quintana Redonda
42292,CUEVAS DE SORIA (LAS),42144,Quintana Redonda
42293,VALDERRODILLA,42197,Valderrodilla
42294,TARDELCUENDE,42181,Tardelcuende
42295,ROMANILLOS DE MEDINACELI,42029,Baraona
42296,YELO,42219,Yelo
42300,OSMA,42043,Burgo de Osma-Ciudad de Osma
42310,RASA (LA),42043,Burgo de Osma-Ciudad de Osma
42311,HOZ DE ARRIBA,42120,Montejo de Tiermes
42312,VILLANUEVA DE GORMAZ,42206,Villanueva de Gormaz
42313,VALDENEBRO,42195,Valdenebro
42314,PERERA (LA),42152,Recuerda
42315,TORREVICENTE,42155,Retortillo de Soria
42316,PERALEJO DE LOS ESCUDEROS,42155,Retortillo de Soria
42317,VALDEAVELLANO DE UCERO,42194,Valdemaluque
42318,VALDEMALUQUE,42194,Valdemaluque
42320,VELILLA DE SAN ESTEBAN,42162,San Esteban de Gormaz
42328,MIÑO DE SAN ESTEBAN,42116,Miño de San Esteban
42329,ZAYAS DE TORRE,42103,Langa de Duero
42330,SAN ESTEBAN DE GORMAZ,42162,San Esteban de Gormaz
42339,FUENTECAMBRON,42086,Fuentecambrón
42340,MORCUERA,42162,San Esteban de Gormaz
42341,NOVIALES,42120,Montejo de Tiermes
42342,TORREMOCHA DE AYLLON,42162,San Esteban de Gormaz
42343,VALDERROMAN,42120,Montejo de Tiermes
42344,MANZANARES,42155,Retortillo de Soria
42345,QUINTANAS RUBIAS ARRIBA,42162,San Esteban de Gormaz
42351,VILLALVARO,42162,San Esteban de Gormaz
42353,ZAYAS DE BASCONES,42007,Alcubilla de Avellaneda
42360,CABRERIZA,42035,Berlanga de Duero
42366,TAJUECO,42177,Tajueco
42367,CASILLAS DE BERLANGA,42048,Caltojar
42368,RIBA DE ESCALOTE (LA),42157,"Riba de Escalote, La"
42369,PAONES,42035,Berlanga de Duero
42391,PEDRAJA DE SAN ESTEBAN,42162,San Esteban de Gormaz
42392,VELAMAZAN,42200,Velamazán
43001,TARRAGONA,43148,Tarragona
43002,TARRAGONA,43148,Tarragona
43003,TARRAGONA,43148,Tarragona
43004,TARRAGONA,43148,Tarragona
43005,TARRAGONA,43148,Tarragona
43006,TORREFORTA,43148,Tarragona
43007,SANT PERE I SANT PAU,43148,Tarragona
43008,TAMARIT,43148,Tarragona
43100,BONAVISTA,43148,Tarragona
43110,CANONJA (LA),43907,"Canonja, La"
43120,CONSTANTI,43047,Constantí
43130,SANT SALVADOR,43148,Tarragona
43140,POBLA DE MAFUMET (LA),43109,"Pobla de Mafumet, La"
43141,VILALLONGA DEL CAMP,43166,Vilallonga del Camp
43142,ROURELL (EL),43134,"Rourell, El"
43143,MILA (EL),43083,"Milà, El"
43144,URB VALLMOLL-PARADIS,43160,Vallmoll
43150,MEDOL (EL),43043,"Catllar, El"
43151,HOSTALETS,43100,"Pallaresos, Els"
